Date,Close,Open,High,Low,Change %
2016-09-06,13126.5,13151.5,13166.5,13121.5,-0.2
2016-09-07,13085.0,13080.0,13095.0,13075.0,-0.32
2016-09-08,13062.5,13062.5,13105.5,13057.5,-0.17
2016-09-09,13099.5,13082.5,13107.5,13071.5,0.28
2016-09-12,13099.5,13099.5,13099.5,13099.5,0.0
2016-09-13,13170.0,13130.0,13193.0,13130.0,0.54
2016-09-14,13204.5,13207.5,13240.5,13197.5,0.26
2016-09-15,13175.0,13185.0,13200.0,13160.0,-0.22
2016-09-16,13157.5,13132.5,13160.5,13117.5,-0.13
2016-09-19,13156.0,13161.0,13176.0,13151.0,-0.01
2016-09-20,13152.5,13142.5,13157.5,13137.5,-0.03
2016-09-21,13135.5,13131.5,13161.5,13131.5,-0.13
2016-09-22,13090.0,13090.0,13110.0,13080.0,-0.35
2016-09-23,13076.5,13061.5,13101.5,13051.5,-0.1
2016-09-26,13030.0,13075.0,13085.0,13030.0,-0.36
2016-09-27,12955.0,13023.0,13050.0,12935.0,-0.58
2016-09-28,12947.5,12932.5,12957.5,12917.5,-0.06
2016-09-29,12975.0,12940.0,12985.0,12930.0,0.21
2016-09-30,13051.0,12984.0,13054.0,12984.0,0.59
2016-10-03,12982.5,13022.5,13022.5,12967.5,-0.52
2016-10-04,12981.5,12981.5,12999.5,12971.5,-0.01
2016-10-05,12997.5,13002.5,13013.5,12982.5,0.12
2016-10-06,12987.0,12991.0,12996.0,12981.0,-0.08
2016-10-07,12985.0,13002.0,13007.0,12980.0,-0.02
2016-10-10,12977.5,12952.5,12982.5,12952.5,-0.06
2016-10-11,13012.5,12977.5,13017.5,12977.5,0.27
2016-10-12,13018.5,13001.5,13026.5,13001.5,0.05
2016-10-13,13077.5,13022.5,13077.5,13017.5,0.45
2016-10-14,13044.5,13052.5,13072.5,13032.5,-0.25
2016-10-17,13068.5,13036.5,13071.5,13036.5,0.18
2016-10-18,13032.0,13022.0,13054.0,13022.0,-0.28
2016-10-19,13007.5,13017.5,13017.5,12997.5,-0.19
2016-10-20,13007.5,12982.5,13010.5,12982.5,0.0
2016-10-21,13045.0,13015.0,13045.0,13010.0,0.29
2016-10-24,13013.0,13031.0,13051.0,13006.0,-0.25
2016-10-25,13006.0,13019.0,13029.0,13004.0,-0.05
2016-10-26,13007.5,12992.5,13009.5,12982.5,0.01
2016-10-27,13033.0,13011.0,13033.0,13011.0,0.2
2016-10-28,13050.5,13027.5,13052.5,13027.5,0.13
2016-10-31,13048.0,13051.0,13053.0,13040.0,-0.02
2016-11-01,13041.5,13026.5,13041.5,13026.5,-0.05
2016-11-02,13056.0,13041.0,13066.0,13040.0,0.11
2016-11-03,13075.0,13045.0,13075.0,13045.0,0.15
2016-11-04,13070.0,13080.0,13115.0,13065.0,-0.04
2016-11-07,13088.0,13072.0,13088.0,13071.0,0.14
2016-11-08,13084.0,13070.0,13091.0,13066.0,-0.03
2016-11-09,13099.0,13051.0,13176.0,13050.0,0.11
2016-11-10,13137.5,13112.5,13137.5,13107.5,0.29
2016-11-11,13287.5,13177.5,13492.5,13177.5,1.14
2016-11-14,13357.5,13302.5,13377.5,13302.5,0.53
2016-11-15,13362.5,13332.5,13392.5,13302.5,0.04
2016-11-16,13377.5,13352.5,13382.5,13332.5,0.11
2016-11-17,13372.5,13382.5,13399.5,13367.5,-0.04
2016-11-18,13427.5,13377.5,13431.5,13372.5,0.41
2016-11-21,13425.0,13430.0,13450.0,13425.0,-0.02
2016-11-22,13442.5,13402.5,13450.5,13402.5,0.13
2016-11-23,13482.5,13447.5,13487.5,13447.5,0.3
2016-11-24,13557.5,13502.5,13559.5,13501.5,0.56
2016-11-25,13517.5,13562.5,13577.5,13492.5,-0.3
2016-11-28,13530.0,13480.0,13545.0,13458.0,0.09
2016-11-29,13572.5,13502.5,13576.5,13502.5,0.31
2016-11-30,13552.5,13532.5,13572.5,13515.5,-0.15
2016-12-01,13545.0,13575.0,13590.0,13545.0,-0.06
2016-12-02,13525.0,13505.0,13535.0,13465.0,-0.15
2016-12-05,13432.5,13512.5,13522.5,13402.5,-0.68
2016-12-06,13382.5,13387.5,13419.5,13357.5,-0.37
2016-12-07,13325.0,13355.0,13360.0,13315.0,-0.43
2016-12-08,13286.5,13291.5,13311.5,13271.5,-0.29
2016-12-09,13327.5,13322.5,13342.5,13317.5,0.31
2016-12-12,13327.5,13327.5,13327.5,13327.5,0.0
2016-12-13,13307.5,13302.5,13315.5,13297.5,-0.15
